Fecha,Hora,artistName,trackName,msPlayed,Fuente
2023-05-29,19:58,Bad Bunny,WHERE SHE GOES,1091,A
2023-05-29,19:58,LiL CaKe,MERCHO,835,A
2023-05-29,19:58,Miranda!,Perfecta (Versión 2023),789,A
2023-05-29,20:02,KAROL G,TQG,719,A
2023-05-29,20:02,Maria Becerra,Te Cura,13462,A
2023-05-29,20:02,Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,3227,A
2023-05-29,20:02,Shakira,Acróstico,1091,A
2023-05-29,20:02,Andrés Calamaro,Cartas Sin Marcar,264866,A
2023-05-29,20:02,Emilia,Jagger.mp3,1439,A
2023-05-29,20:03,La Joaqui,Amanecemos,673,A
2023-05-29,20:03,Damas Gratis,Costumbres - Vivo,789,A
2023-05-29,20:03,Manuel Turizo,La Bachata,766,A
2023-05-29,20:03,Milo j,AL BORDE,650,A
2023-05-29,20:03,Feid,Feliz Cumpleaños Ferxxo,580,A
2023-05-29,20:03,ROSALÍA,BESO,1346,A
2023-05-29,20:03,Feid,Normal,1068,A
2023-05-29,20:03,TINI,Muñecas,1277,A
2023-05-29,20:03,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",1021,A
2023-05-29,20:03,The La Planta,DISCOTEKA (feat. Locura Mix),719,A
2023-05-29,20:03,Cris Mj,Marisola - Remix,1137,A
2023-05-29,20:03,Luck Ra,Quiero Creer,1439,A
2023-05-29,20:03,ECKO,Te Escapas De Mis Brazos (Remix),673,A
2023-05-29,20:03,Lolo OG,Azote - Remix,534,A
2023-05-29,20:03,TINI,Cupido,1811,A
2023-05-29,20:05,Nicki Nicole,CAEN LAS ESTRELLAS,145171,A
2023-05-29,20:06,Camila,Decidiste Dejarme,5201,A
2023-05-29,20:06,Lauty Gram,Vida Gangster,1532,A
2023-05-29,20:06,Quevedo,PUNTO G,603,A
2023-05-29,20:06,Attaque 77,Arrancacorazones,1207,A
2023-05-29,20:06,Rei,Tu Turrito,812,A
2023-05-29,20:06,Ke Personajes,Otro Día Más,1927,A
2023-05-29,20:06,Ozuna,Hey Mor,11740,A
2023-05-29,20:06,WOS,ARRANCARMELO,17856,A
2023-05-29,20:06,Eladio Carrion,Coco Chanel,1416,A
2023-05-29,20:06,Feid,Niña Bonita,1509,A
2023-05-29,20:06,Nicki Nicole,qué le pasa conmigo?,859,A
2023-05-29,20:09,Nicki Nicole,DISPARA ***,143935,A
2023-05-29,20:10,Quevedo,PUNTO G,41745,A
2023-05-29,20:10,Ulises Bueno,Intento,185,A
2023-05-29,20:14,Intoxicados,Nunca quise,260371,A
2023-05-29,20:16,Julieta Venegas,Me Voy,128716,A
2023-05-29,20:16,Los Cafres,Tus Ojos,2368,A
2023-05-29,20:16,Airbag,Solo aquí,859,A
2023-05-29,20:21,Catupecu Machu,A Veces Vuelvo,266133,A
2023-05-29,20:22,Andrés Calamaro,Cartas Sin Marcar,97947,A
2023-05-31,10:22,Llane,Será,1984,A
2023-05-31,10:25,PARTYNEXTDOOR,BELIEVE IT,183219,A
2023-05-31,10:25,KHEA,Dónde Estás,7004,A
2023-05-31,10:28,Milo j,Morocha,139172,A
2023-05-31,10:30,Bad Bunny,Si Estuviésemos Juntos,169247,A
2023-05-31,10:34,Yera,Que Fluya - Remix,201875,A
2023-05-31,10:34,KHEA,tu msj </3,1685,A
2023-05-31,10:34,Ovy On The Drums,Inolvidable,4674,A
2023-05-31,10:37,Rels B,SIN MIRAR LAS SEÑALES,180000,A
2023-05-31,10:37,Sech,Falsas Promesas,6810,A
2023-05-31,10:37,Rels B,Como Antes,1493,A
2023-05-31,10:37,Danny Ocean,Dembow,874,A
2023-05-31,10:40,Danny Ocean,Dembow,215082,A
2023-05-31,10:42,Bizarrap,"KHEA: Bzrp Music Sessions, Vol. 34",5699,A
2023-05-31,10:42,Rels B,Como Antes,142576,A
2023-05-31,10:43,Trueno,Hood - Remix,1066,A
2023-05-31,10:43,Bad Bunny,TE MUDASTE,3797,A
2023-05-31,10:45,Rauw Alejandro,Aquel Nap ZzZz,9597,A
2023-05-31,10:45,Rels B,Un Verano En Mallorca,144039,A
2023-05-31,10:47,Rels B,cómo dormiste?,112572,A
2023-05-31,10:51,Bad Bunny,Si Estuviésemos Juntos,169247,A
2023-05-31,10:54,Rels B,SIN MIRAR LAS SEÑALES,180000,A
2023-05-31,10:56,KHEA,tu msj </3,119498,A
2023-05-31,10:59,"Tyler, The Creator",EARFQUAKE,190066,A
2023-05-31,11:02,Mura Masa,Love$ick (feat. A$AP Rocky),192160,A
2023-05-31,11:05,Travis Scott,goosebumps,207863,A
2023-05-31,19:33,Foster The People,Sit Next to Me,3946,A
2023-05-31,19:33,Travis Scott,goosebumps,3221,A
2023-05-31,19:38,Kanye West,Only One,280226,A
2023-05-31,19:39,Drake,IMY2 (with Kid Cudi),65751,A
2023-05-31,19:43,Wiz Khalifa,The Thrill,234333,A
2023-05-31,19:45,Juice WRLD,Hear Me Calling,135410,A
2023-05-31,19:47,YNW Melly,Murder On My Mind,138751,A
