endTime,artistName,trackName,msPlayed
2023-05-27 17:36,C. Tangana,Párteme La Cara,167866
2023-05-27 17:39,C. Tangana,Ingobernable,187053
2023-05-27 17:42,C. Tangana,Nominao,176186
2023-05-27 17:45,C. Tangana,Un Veneno - G-Mix,193693
2023-05-27 17:49,C. Tangana,Te Olvidaste,187520
2023-05-27 17:52,C. Tangana,Muriendo De Envidia,182640
2023-05-27 17:54,C. Tangana,CAMBIA!,161474
2023-05-27 17:57,Eslabon Armado,Ella Baila Sola,165671
2023-05-27 17:58,Eslabon Armado,Ella Baila Sola,39567
2023-05-27 17:58,Woodkid,The Golden Age,7744
2023-05-27 18:00,Woodkid,The Golden Age,124309
2023-05-27 18:00,The Weeknd,Starboy,1152
2023-05-27 18:04,The Weeknd,Blinding Lights,160901
2023-05-27 18:04,C418,Sweden,48597
2023-05-27 18:05,Betoven Collection,Gymnopédie No.1,42602
2023-05-27 18:09,Jacob's Piano,Mariage d'Amour,215722
2023-05-27 18:11,Fabrizio Paterlini,Rue des trois frères,22563
2023-05-27 18:11,Fabrizio Paterlini,Rue des trois frères,111442
2023-05-27 18:17,Carly Comando,Everyday,349000
2023-05-27 18:23,Carly Comando,Everyday,349000
2023-05-27 18:23,Carly Comando,Everyday,24631
2023-05-27 18:28,Pescado Rabioso,Cementerio Club,295826
2023-05-27 18:31,Pescado Rabioso,Por,174029
2023-05-27 18:36,Pescado Rabioso,Superchería,255986
2023-05-27 18:39,Pescado Rabioso,La Sed Verdadera,209973
2023-05-27 18:48,Pescado Rabioso,Cantata de Puentes Amarillos,547960
2023-05-27 18:52,Pescado Rabioso,Bajan,204466
2023-05-27 18:55,Pescado Rabioso,"A Starosta, el Idiota",193706
2023-05-27 18:59,Pescado Rabioso,Las Habladurias del Mundo,243266
2023-05-27 19:01,Pescado Rabioso,Todas las Hojas Son del Viento,130080
2023-05-27 19:04,Pescado Rabioso,Cementerio Club,185873
2023-05-27 20:04,Pescado Rabioso,La Sed Verdadera,1045
2023-05-27 20:04,Pescado Rabioso,Superchería,2240
2023-05-27 20:04,Pescado Rabioso,Cantata de Puentes Amarillos,10688
2023-05-27 20:04,Pescado Rabioso,Por,725
2023-05-27 20:08,Pescado Rabioso,Bajan,204466
2023-05-27 20:11,Pescado Rabioso,"A Starosta, el Idiota",193706
2023-05-27 20:15,Pescado Rabioso,Las Habladurias del Mundo,114445
2023-05-27 20:19,Charly García,Nos Siguen Pegando Abajo,206720
2023-05-27 20:23,Charly García,Hablando a Tu Corazón,255266
2023-05-27 20:25,Charly García,Demoliendo Hoteles,135973
2023-05-27 21:27,La Vela Puerca,De Atar,206129
2023-05-27 21:32,Luis Alberto Spinetta,Rezo por Vos (En Vivo Estadio Vélez Sarsfield) (feat. Charly García),272733
2023-05-27 21:40,Fito Paez,Dos días en la vida,448430
2023-05-27 21:40,Luis Alberto Spinetta,Ya No Mires Atrás,4671
2023-05-27 21:40,Los Piojos,Ruleta,2474
2023-05-27 21:40,Catupecu Machu,Magia Veneno,1429
2023-05-27 21:40,Catupecu Machu,A Veces Vuelvo,1471
2023-05-27 21:40,Attaque 77,Arrancacorazones,5461
2023-05-27 21:40,Los Piojos,Bicho de Ciudad,1471
2023-05-27 21:40,Charly García,Buscando un Símbolo de Paz,3840
2023-05-27 21:40,Catupecu Machu,Y Lo Que Quiero Es Que Pises Sin El Suelo,1578
2023-05-27 21:40,La Renga,El Revelde,1664
2023-05-27 21:40,Conociendo Rusia,Cabildo y Juramento,1429
2023-05-27 21:42,Jarabe De Palo,Depende,810
2023-05-27 21:42,La Portuaria,A Través De Tus Ojos,3135
2023-05-27 21:42,Los Piojos,Fijate,1749
2023-05-27 21:42,Fito Paez,La rueda mágica,123050
2023-05-27 21:44,Serú Girán,Seminare (Remasterizado 2021),981
2023-05-27 21:44,La Franela,Hacer un puente,1408
2023-05-27 21:44,La Franela,Hacer un puente,10325
2023-05-27 21:44,Jarabe De Palo,Depende,1578
2023-05-27 21:44,Gustavo Cerati,Bajan,1301
2023-05-27 21:44,Charly García,Chipi-Chipi,1301
2023-05-27 21:44,Charly García,Chipi-Chipi,2837
2023-05-27 21:44,Los Piojos,Fijate,90197
2023-05-27 21:47,Gustavo Cerati,Bajan,198357
2023-05-27 21:51,Serú Girán,Seminare (Remasterizado 2021),202513
2023-05-27 21:51,Gustavo Cerati,Crimen,23461
2023-05-28 22:31,Ottilie Lebau,Saint James Infirmary Blues,124000
2023-05-28 22:34,Frank Keme,Around Me,162427
2023-05-28 22:36,Rikard Wennberg,Our Love Story,126491
2023-05-28 22:40,Alec Taylor,God Bless the Child,254647
2023-05-28 22:43,Andy Luma,Cherokee,179874
2023-05-28 22:47,Mary Steinbrecher,Sharing,224500
2023-05-28 22:49,Lenard Lovito,Sweet Or Sweeter,119350
2023-05-28 22:51,Einar Magnusson,Be Free,137984
2023-05-28 22:54,Martin Landström,That Old Fashioned Moon,169446
2023-05-28 22:57,Urskogen Jazz,"Break My Heart, Love",177071
2023-05-28 23:01,Tim Walker-Price,Embraceable You,202889
2023-05-28 23:03,Roland Wilder,St. James's At Night,149771
2023-05-28 23:07,Elton Willis,There´s no you,187127
2023-05-29 10:01,Rels B,Sin Gato (MIAU!),99456
2023-05-29 10:05,Rauw Alejandro,Aquel Nap ZzZz,263637
2023-05-29 10:09,Rauw Alejandro,MUSEO,216128
2023-05-29 10:09,Selecta,Tu Nombre - Remix - Bonus Track,2773
2023-05-29 10:12,ROSALÍA,BESO,194543
2023-05-29 10:12,Gustavo Cerati,Camuflaje,4018
2023-05-29 10:15,ROSALÍA,LLYLM,174044
2023-05-29 10:19,Fabiana Cantilo,Nada es para siempre,11925
2023-05-29 10:19,Zeballos,Eclipse,241058
2023-05-29 10:19,Fabiana Cantilo,Llego tarde,1194
2023-05-29 10:19,LOUTA,VENENO,1493
2023-05-29 10:19,Claudia Puyó,Alguna Vez,3416
2023-05-29 10:20,WOS,DESCARTABLE,72511
2023-05-29 10:23,C. Tangana,Estrecho / Alvarado (feat. pablopablo),150141
2023-05-29 10:27,Bad Bunny,ANTES QUE SE ACABE,221186
2023-05-29 10:29,Eladio Carrion,Me Gustas Natural,3114
2023-05-29 10:29,Rels B,Buenos Genes,5290
2023-05-29 10:29,Eladio Carrion,Coco Chanel,132973
2023-05-29 10:30,Kendrick Lamar,Money Trees,75242
2023-05-29 10:31,Justend,threethou - latenight,80562
2023-05-29 10:32,DNA,"Tom's Diner - 7"" Version",3076
2023-05-29 10:32,Blood Orange,Out Of Your League,1749
2023-05-29 10:34,Playboi Carti,Location,168783
2023-05-29 10:40,Travis Scott,90210 (feat. Kacy Hill),339066
2023-05-29 10:42,Kanye West,Ghost Town,103202
2023-05-29 23:30,ROSALÍA,BESO,194543
2023-05-29 23:33,WOS,DESCARTABLE,181782
2023-05-29 23:33,Gustavo Cerati,Camuflaje,12945
2023-05-29 23:36,ROSALÍA,LLYLM,174044
2023-05-29 23:40,Fabiana Cantilo,Nada es para siempre,1642
2023-05-29 23:40,Zeballos,Eclipse,241058
2023-05-29 23:40,Claudia Puyó,Alguna Vez,1666
2023-05-29 23:41,Fabiana Cantilo,Llego tarde,14762
2023-05-29 23:44,WOS,ANDRÓMEDA,171475
2023-05-29 23:44,Lara91k,Zoe,0
2023-05-29 23:44,Rels B,Sin Gato (MIAU!),1791
2023-05-29 23:47,Adrian Bello,Elefantes en el Mar,1450
2023-05-29 23:47,WOS,ANDRÓMEDA,575
2023-05-29 23:47,Gustavo Cerati,Bajan,4991
2023-05-29 23:47,WOS,MUGRE,1066
2023-05-29 23:47,Lara91k,Zoe,194346
2023-05-29 23:47,WOS,OKUPA,981
2023-05-29 23:51,T&K,Voyagers,266367
2023-05-29 23:53,maye,Versos de Placer,90026
2023-05-29 23:54,maye,Tú,55701
2023-05-30 21:07,Babi,Lo sabía,199146
2023-05-30 21:10,Doble,3 AM,168500
2023-05-30 21:13,Zeballos,Sin Escalas,181000
2023-05-30 21:16,Al Safir,No Love,184000
2023-05-30 21:20,Delaossa,Veneno,258586
2023-05-30 21:24,ACRU,THROW UP SESSION #3,231111
2023-05-30 21:27,Sara Socas,Ahora Me Quiero Más,166666
2023-05-30 21:30,Marc Seguí,Daiwal,173354
2023-05-30 21:33,Santy-P,Lento,199500
2023-05-30 21:36,Kali Uchis,telepatía,160191
2023-05-30 21:38,Rels B,SHORTY QUE TE VAYA BN <3,1602
2023-05-30 21:38,Vivi K,he dejado de llamarte,142467
2023-05-30 21:42,Zeballos,Catarsis,214833
2023-05-30 21:45,Marc Seguí,cara :),176340
2023-05-31 09:57,Fito Paez,El Amor Después del Amor - EADDA9223,235349
2023-05-31 10:02,Fito Paez,Dos Días en la Vida - EADDA9223 (feat. Lali & Nicki Nicole),248881
2023-05-31 10:03,Fito Paez,La Verónica - EADDA9223 (feat. NATHY PELUSO),94820
2023-05-31 10:04,Fito Paez,Tráfico por Katmandú - EADDA9223 (feat. Elvis Costello),72469
2023-05-31 10:07,Fito Paez,Pétalo de Sal - EADDA9223 (feat. Chico Buarque),139989
2023-05-31 10:11,Fito Paez,"Sasha, Sissi y el Círculo de Baba - EADDA9223 (feat. Mon Laferte)",238333
2023-05-31 10:12,Fito Paez,Un Vestido y un Amor - EADDA9223 (feat. Marisa Monte),83757
2023-05-31 10:14,Fito Paez,Tumbas de la Gloria - EADDA9223 (feat. María Castillo de Lima),144341
2023-05-31 10:19,Fito Paez,La Rueda Mágica - EADDA9223 (feat. Andrés Calamaro & Conociendo Rusia),248724
2023-05-31 10:24,Fito Paez,Creo - EADDA9223,308790
2023-05-31 10:27,Fito Paez,Detrás del Muro de los Lamentos - EADDA9223 (feat. Antonio Carmona & Estrella Morente),216762
2023-05-31 10:33,Fito Paez,La Balada de Donna Helena - EADDA9223 (feat. WOS & CA7RIEL),342215
2023-05-31 10:37,Fito Paez,Brillante Sobre el Mic - EADDA9223,246183
